grid_id,week_start,count,grid_lat,grid_lon,count_lag1,count_lag2,count_lag3,count_lag4,count_roll_mean4,neighbor_mean,target_count_t1,target_bin_t1
-11.42_-77.24,2023-09-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-09-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-03,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-10,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-17,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-24,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-31,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-07,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-14,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-21,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-28,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-16,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-23,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-30,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-06,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-13,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-20,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-27,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-04-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
